headline,link,news
"GM, Canadian union reach tentative agreement, ending strike",https://www.reuters.com/business/autos-transportation/canadian-union-unifor-strike-three-gm-facilities-2023-10-10/,"OSHAWA, Ontario, Oct 10 (Reuters) - General Motors (GM.N) and Canadian union Unifor reached a tentative agreement on Tuesday just hours after 4,300 workers went on strike at three GM facilities. The union said the tentative agreement follows the pattern agreement Unifor reached with Ford Motor (F.N) last month and includes wage hikes of up to 25%. The strike ended after about 12 hours in which it had threatened the largest U.S. automaker's profitable full-size truck production. Workers must still vote to approve the agreement. “When faced with the shutdown of these key facilities General Motors had no choice but to get serious at the table and agree to the pattern,"" said Unifor National President Lana Payne. She added that GM agreed to items it initially fought including ""pensions, retiree income supports and converting full-time temporary workers into permanent employees over the life of the agreement."" The agreement will cut the time needed to get to top pay from eight years to four years, Payne said, which is important since there are so many younger GM Canadian workers. ""It’s great for the workers, but we’re not out of the water yet because we still have to ratify this agreement,"" said GM worker Darrell Colley, standing outside the Oshawa plant after the agreement was reached. GM shares closed up 1.6%. The company said work resumed at all three facilities in the afternoon and that the deal ""recognizes the many contributions of our represented team members with significant increases in wages, benefits and job security."" The walkout by workers early on Tuesday came after Unifor said GM was ""stubbornly refusing"" to match the contract the labor union reached with Ford. The walkout was set to intensify the headache faced by the automaker in the U.S. where it is racking up millions of dollars in daily losses to the United Auto Workers (UAW) strike that started Sept. 15. GM has lost 34,176 vehicles of production since the start of the UAW strike, according to an estimate by Deutsche Bank. The automaker said last week it had 442,586 vehicles in stock. The UAW has struck two GM assembly plants in the United States and 18 parts distribution centers. GM has laid off 2,300 U.S. workers due to the impacts of the UAW strike. Unifor has used the ""pattern bargaining"" approach in its talks, reaching a deal first with Ford. The union said GM will now follow the pattern. The UAW, on the other hand, broke with that approach under its new leadership. Payne said Stellantis (STLAM.MI) workers deserve the same agreement but expected the company ""will come here kicking and screaming the way that General Motors did."" Stellantis declined to comment. Unifor represents about 18,000 Canadian workers at Ford, GM and Chrysler parent Stellantis. Separately, the UAW said Tuesday that 97% of General Dynamics (GD.N) manufacturing workers in Michigan, Ohio, and Pennsylvania voted to authorize a strike. The contract covering 1,100 defense industry workers expires on Oct. 22. On Monday, about 4,000 UAW workers at Volvo Group (VOLVb.ST)-owned Mack Trucks went on strike after overwhelmingly rejecting a proposed five-year contract. About 73% of the unit's 4,000 workers in Pennsylvania, Florida and Maryland voted against the deal that included a 19% pay raise. Unions have increasingly resorted to strikes across sectors from airlines to automakers, buoyed by a tight labor market and positive public opinion in the U.S., even though union membership has fallen."
Union at Kia Corp suspends strike action to resume talks with company,https://www.reuters.com/business/autos-transportation/kia-corps-unionised-workers-go-partial-strike-over-wages-union-2023-10-11/,"SEOUL, Oct 11 (Reuters) - Kia Corp's (000270.KS) union in South Korea said it would suspend for now a partial strike announced earlier on Wednesday to pursue more talks with the company. The union and Kia's management had been holding talks for three months over wage increases and an extension of the retirement age. Earlier, the union said it would limit working hours for six working days from Oct. 12 after negotiations stalled, in what would have been the first industrial action at Kia in three years. ""We have decided to put a pause on the planned strike for tomorrow as we are having negotiations with the management,"" an official at the Kia union told Reuters, adding that the union would decide the next step after talks with the company. Kia declined to comment on the industrial action. The Kia union is seeking a minimum basic monthly pay increase of 184,900 won ($138.12), a performance pay equating to 30% of Kia's 2022 net profit as well as an increase to the retirement age to 64 from 60 and a 4-day work week. Last month, the union at South Korea's second largest automaker with more than 26,600 members said 92.3% of its members had approved strike action unless the management accepts their demands. The labour action at Kia comes as the union at affiliate Hyundai Motor Co (005380.KS) avoided a strike after the union and the management last month sealed a deal set to boost annual pay by about 12%. Because the deals with Hyundai Motor and affiliate Hyundai Mobis (012330.KS) were concluded without any industrial action, Kia's unions are likely to avoid any major industrial action, analysts said. ""For now, Kia is the only one that plans to go on an actual strike... this is unlikely to give much momentum for Kia to carry intense strikes or go on for too long by itself,"" said Lee Jae-il, an analyst at Eugene Investment & Securities. Shares in Kia Corp closed up 0.5%, versus the benchmark KOSPI's (.KS11) 2% rise."
US SEC shortens deadline to disclose 5% stock ownership to 5 days,https://www.reuters.com/markets/us/us-sec-shortens-stock-disclosure-deadline-5-days-2023-10-10/,"Oct 10 (Reuters) - Wall Street's top regulator on Tuesday said it has tightened the timeline for investors to disclose 5% ownership stakes in companies they intend to control, shortening the allowed window from 10 calendar days to five business days. The five-member U.S. Securities and Exchange Commission voted 4-1 to adopt the changes. Officials said this marked an update to half-century-old regulations that had not kept pace with advances in market technology. ""In our fast-paced markets, it shouldn't take 10 days for the public to learn about an attempt to change or influence control of a public company,"" SEC Chair Gary Gensler said in a statement. The SEC proposal, first made public in 2022, initially angered some activist investors who claimed that having to step forward sooner could make it unprofitable to build the ownership positions they need for successful takeover campaigns. The SEC is also currently seeking to force Tesla CEO Elon Musk to give evidence in the agency's investigation of his takeover of the social media platform X, formerly known as Twitter, in which officials say Musk may have made such disclosures late. As adopted, the rule also shortens the disclosure deadline for certain institutional investors to 45 days from the end of the quarter in which their ownership stake surpasses 5%. Previously, the deadline was 45 days from the end of the calendar year. In advance of the announcement, SEC officials told reporters the final rule had been softened in important ways from the original proposal. It had initially called for investors seeking control of a company to reveal within five calendar days, rather than business days, that they have purchased 5% or more of a company's shares. Additionally, the initial proposal would have required certain institutional investors -- meaning companies that make bulk investments on behalf of others such as pension funds -- to disclose stakes of 5% or more within five business days from a month's end, rather than 45 days from the end of the quarter. The SEC announced the new rule changes after they had already been adopted rather than through a public meeting. Republican Commissioner Hester Peirce, the lone objector, said the change effectively required investors who expend considerable effort and resources in researching stock purchases to tip off other investors who have not, weakening the incentive for markets to monitor corporate conduct. ""This 'modernization' effort might better be characterized as an insulation effort -- insulating corporate managers from scrutiny,"" Peirce said in a statement."
"Tesla rejects union claims, reports of health and safety issues at German plant",https://www.reuters.com/business/autos-transportation/tesla-rejects-union-claims-reports-health-safety-issues-german-plant-2023-10-10/,"BERLIN, Oct 10 (Reuters) - Tesla (TSLA.O) on Tuesday rejected claims by a German union and recent media reports that health and safety provisions at its gigafactory near Berlin were inadequate, stating that protecting workers' health was a top priority. The U.S. electric vehicle maker came under scrutiny in the past fortnight after German media citing local authority documents in Brandenburg reported an unusually high number of work-related accidents requiring workers to take at least three days of sick leave were occurring at the plant, which employs around 11,000 workers. The report detailed accidents that included serious injuries such as burns, hydrochloric acid or amputated limbs. On Monday, German union IG Metall said its membership numbers from Tesla workers were rising steeply amid concerns over health and safety as well as overwork. Reuters was not able to independently verify the union's claims or the media report. In a written statement, Tesla said workers received training on necessary safety measures, as well as protective clothing. The plant was subject to regular checks by local authorities that safety measures were being respected, it added. The company did not address the specific claims of the union or media reports regarding the number of accidents or workers off sick at the plant. Reuters spoke to twelve workers at the factory on Monday. While four said they were satisfied with working conditions, eight said pressure for speed was too high, with some reporting high incidence of accidents and issues with receiving overtime pay. Brandenburg's authority on occupational safety and health said to Reuters it only held records of serious accidents at work resulting in over six weeks of inpatient treatment or permanent physical damage, of which there had been six at the Tesla plant in 2021 and 2022. The authority's staff conducted weekly safety checks at the plant during its construction phase and now visited fortnightly, with unannounced checks every 6-8 weeks, it added."
Top issues in Detroit Three's negotiations with UAW,https://www.reuters.com/business/autos-transportation/top-issues-detroit-threes-negotiations-with-uaw-2023-10-10/,"Oct 10 (Reuters) - The United Auto Workers (UAW) secured a ""major breakthrough"" in labor talks with the Detroit Three automakers as General Motors (GM.N) made some concessions by allowing workers at joint-venture battery plants to be covered by union contracts. Here is a look at the top talking points, and how negotiations have progressed three weeks after the strike began, according to UAW President Shawn Fain and the companies: Source: Fain's statement, company statements"
"From Detroit Three to healthcare, US labor unions flex muscle",https://www.reuters.com/markets/us/detroit-three-healthcare-us-labor-unions-flex-muscle-2023-10-10/,"Oct 10 (Reuters) - A tight U.S. labor market, the expiry of union contracts and high living costs have led to tough negotiations for pay hikes and benefits, triggering strikes and protests across industries. Nearly 309,700 workers have been involved in work stoppages and strikes through August this year, according to preliminary data from the U.S. Bureau of Labor Statistics, putting 2023 on track to becoming the busiest year for strikes since 2019. Here are some sectors and companies that faced tough negotiations in 2023: Members of the Writers Guild of America (WGA) approved a new three-year contract with major studios on Oct. 9. Film and television writers had walked off the job in May over compensation, staffing and residual payments, among other issues. They went back to work on Sept. 27 after negotiators reached a tentative agreement. In July, the SAG-AFTRA actors union joined the writers on picket lines, and it remains on strike. Negotiators for striking Hollywood actors met with representatives of major studios, television networks and streaming services this week and said negotiations will resume on Oct. 11. The United Auto Workers (UAW) union has expanded its ongoing strike against the Detroit Three automakers - General Motors (GM.N), Ford Motor (F.N) and Chrysler parent Stellantis (STLAM.MI). The coordinated strike, which began after the earlier contracts expired on Sept. 15, initially targeted three assembly plants in Michigan, Ohio and Missouri. Union workers at Volvo Group (VOLVb.ST)-owned Mack Trucks went on strike on Oct. 9 after overwhelmingly rejecting a proposed five-year contract. Teamsters union workers at United Parcel Service (UPS.N) ratified a new five-year contract in August, a deal that raises pay, eliminates a two-tier wage system for drivers, provides another paid holiday and ends forced overtime. FedEx (FDX.N) pilots have been involved in a standoff with the parcel delivery firm over wages and legacy pensions. Pilots rejected a tentative deal in July and negotiations are expected to restart. Pilots at several airlines including American Airlines (AAL.O), Delta Airlines (DAL.N), United Airlines Holdings (UAL.O), Spirit Airlines (SAVE.N) and Jetblue Airways (JBLU.O) negotiated new job contracts this year. Members of some unions like the Southwest Airlines Pilots Association have voted to authorize a strike if a new contract is not reached. Spirit AeroSystems (SPR.N) negotiated a new contract to end a strike that led to a week-long work stoppage at its plant in Wichita, Kansas. U.S. steel producer Cleveland-Cliffs (CLF.N) has reached a tentative agreement with the United Steelworkers union on a new three-year labor agreement for its Northshore mining operations. U.S. Steel (X.N), which is reviewing multiple proposals ranging from partial acquisition to an entire buyout, is embroiled in a tussle with the United Steelworkers union. The company's unionized workers say they essentially have the power to veto any transaction they do not approve of. Thousands of Las Vegas workers will picket in front of eight MGM Resorts (MGM.N) and Caesars Entertainment (CZR.O) resort locations on Thursday. Unions representing the roughly 53,000 Las Vegas workers met last week with MGM, Caesars and Wynn Resorts (WYNN.O) over a new five-year contract. In September, workers at three Detroit casinos - MGM Grand Detroit, Hollywood at Greektown and MotorCity - voted in favor of authorizing a strike at all three locations if a new contract agreement isn't reached. The Detroit Casino Council (DCC), which represents the workers, could call for strikes as soon as mid-October, when contracts expire. More than 3,000 workers at more than 150 Starbucks (SBUX.O) stores in the U.S. held strikes in June, following claims the company had banned Pride Month decorations at some of its cafes.  read more   read more  Thousands of Los Angeles-area hotel staffers went on a three-day strike in July over improved wages, benefits and working conditions. Union leaders representing the workers have threatened further walkouts. The Coalition of Kaiser Permanente Unions has served the company notice that a week-long ""follow-up strike is possible"" starting Nov. 1 unless a settlement is reached beforehand. Tens of thousands of nurses and other healthcare workers at Kaiser Permanente staged a planned three-day strike last week over pay and staffing issues. More than 7,000 nurses went on a three-day strike in New York City over staffing levels and pay hikes in January. Unions representing cannabis workers have also increased pressure on companies in the sector this year. Workers at Green Thumb Industries' (GTII.CD) Chicago-area RISE dispensaries went on a 13-day unfair labor practices (ULP) strike in April, which was the longest ULP strike at a cannabis retailer in U.S. history. Labor unions secured new contract agreements at multistate operator-owned cannabis dispensaries in Illinois and in New Jersey in July. Unionized workers at Phillips 66's (PSX.N) refinery in Roxana, Illinois, ratified a contract with the refiner in late-stage negotiations, averting a potential strike. The union had been in talks with the refiner since summer, when it rejected a company proposal and sought additional benefits for holiday and vacation hours and pay, among other improvements."
UAW workers strike Mack Trucks after rejecting contract,https://www.reuters.com/business/autos-transportation/uaw-workers-reject-mack-trucks-contract-will-strike-2023-10-09/,"Oct 9 (Reuters) - Union workers at Volvo Group (VOLVb.ST)-owned Mack Trucks went on strike on Monday after overwhelmingly rejecting a proposed five-year contract, the United Auto Workers said, the latest tentative labor agreement in the U.S. to be voted down. About 73% of the unit's 4,000 workers in Pennsylvania, Florida and Maryland voted against the deal that included a 19% pay raise, said the UAW, which is in the midst of contract talks with Detroit's Big Three automakers. Ford Motor (F.N) in those talks has offered a 23% wage hike. The proposed Mack deal had also included a $3,500 ratification bonus, improved retirement benefits, additional vacation for some employees and a reduction in the time needed to get to top pay. In online forums, some Mack workers complained the raise was too small to keep up with inflation. “We don't see ourselves as disconnected from the struggle of the Big Three,"" said Will Lehman, a material technician who works at Mack's Lehigh Valley facility in Pennsylvania. He added that he was displeased that the UAW endorsed a ""phony"" tentative agreement to be voted on. The cost of living had gone up more than the 19% Mack offer, Lehman said. UAW President Shawn Fain, who had backed the Mack deal, said late on Sunday: ""I'm inspired to see UAW members at Mack holding out for a better deal, and ready to stand up and walk off the job to win it."" Mack President Stephen Roy said the company was ""surprised and disappointed"" by the strike. Mack ""clearly demonstrated our commitment to good-faith bargaining by arriving at a tentative agreement that was endorsed by both the International UAW and the UAW Mack Truck Council,"" Roy added. Mack, which was bought by Volvo in 2000, is one of North America's largest makers of medium-duty and heavy-duty trucks. The UAW said it would contact Mack to set dates to resume bargaining. ""UAW members and workers across the economy are mobilizing to demand their fair share,"" the UAW said in a letter to Mack. ""The union remains committed to exploring all options for reaching an agreement, but clearly we are not there yet."" Unions negotiating new contracts in the auto, shipping and healthcare industries have used labor actions to keep employers off-balance this year. Polls have shown most Americans broadly support the unions' demands. In the last 12 months, freight rail workers and employees at shipping company FedEx (FDX.N) have rejected tentative agreements between union negotiators and companies before eventually reaching deals. The UAW has been on a targeted strike against facilities of the Detroit Three automakers since Sept. 15. About 25,000 of the 146,000 UAW employees at General Motors (GM.N), Ford and Chrysler parent Stellantis (STLAM.MI) are on strike. Fain said on Friday the union would not expand the strikes, citing progress in talks. Canadian workers at GM also face a contract talk deadline at midnight on Monday (0400 GMT on Tuesday) that could lead to another strike. Stellantis said on Monday it was furloughing another 570 workers in Michigan and Indiana, bringing the total to 640, citing the impacts of the UAW strike, specifically storage constraints. GM said it was boosting its layoffs by about 200 to 2,300, while Ford said it was furloughing another 70 employees in Michigan as a result of the strike, raising the total to 1,865. GM's revised offer did not match the 23% pay raise proposed by Ford. On Friday, the UAW said GM agreed that workers at joint venture battery plants could be covered by union contracts, but GM offered no details on Monday. On Monday, Deutsche Bank estimated GM has lost 34,176 vehicles of production during the strike, Ford 21,296 vehicles and Stellantis 18,893 vehicles, reducing total Detroit Three earnings by $946 million to date. Mexico's auto parts industry is expected to register a $412 million hit to production by Friday, a trade group said on Monday. Anderson Economic Group estimates a total economic loss of $5.5 billion through the third full week of the strike, including in lost wages, $2.68 billion in automaker losses, $1.6 billion for suppliers and $1.26 billion in dealer and customer losses."
US automakers increase strike layoffs by more than 800,https://www.reuters.com/markets/us/gm-expands-strike-layoffs-by-nearly-200-workers-2023-10-09/,"Oct 9 (Reuters) - Chrysler-parent Stellantis (STLAM.MI) said on Monday it is laying off another 570 workers and General Motors (GM.N) announced cuts of nearly 200 employee due to the United Auto Workers strike. Ford said Monday another 70 workers had been laid off in Michigan, bringing the total at the automaker to 1,865 since the strike began. There are a total of 640 workers at Stellantis that have been laid off. Stellantis, which has had a total of 640 layoffs, said the latest include 520 at its Trenton, Michigan engine plant as well as 50 at an Indiana casting plant. Stellantis said the layoffs were due to storage constraints. GM increased its layoffs by 200 to 2,300, affecting six plants including its Lansing, Michigan, stamping plant and a Toledo, Ohio, plant. GM said workers are not expected to return until the strike is resolved. The strike began Sept. 15."
Analysis: Why Elon Musk might lose his latest battle with the SEC over Twitter probe,https://www.reuters.com/business/why-sec-might-win-its-latest-battle-with-elon-musk-2023-10-09/,"WASHINGTON, Oct 9 (Reuters) - The U.S. Securities and Exchange Commission (SEC) has taken Elon Musk to court again, and this time it may win. The agency on Thursday asked a federal court to force Musk to testify for its investigation into his $44 billion takeover of social media giant Twitter, the third time the SEC has taken Musk to court. It sued him in 2018 and again in 2019 in relation to a tweet Musk sent saying that he had funding secured to take his electric carmaker Tesla (TSLA.O) private. The 2018 lawsuit was quickly settled on the condition that lawyers vet Musk's future tweets. The 2019 lawsuit by the SEC trying to enforce that deal did not go their way. In this case, the SEC is on solid ground as the law enforcing the requirements of investigative demands, or subpoenas, is clear cut, said several former SEC officials. While the stakes are lower this time, the new case again shines a spotlight on the extraordinary feud between the world's richest man and most powerful securities regulator, which has for years struggled to bring Musk to heel. ""This case is different from past forays between the SEC and Elon Musk because it's a subpoena enforcement case. These cases are really cut and dry,"" said Stephen Crimmins, a partner with Davis Wright Tremaine law firm and a former SEC trial lawyer. ""The law provides the SEC has subpoena power to take investigative testimony and gather documents."" If Musk defies the court, he is likely to be fined until he testifies, lawyers said. Further defiance could, in an extreme scenario, lead to jail. The SEC, which declined to comment, is probing whether Musk broke securities laws in 2022 when he bought stock in Twitter, which Musk renamed X, as well as statements and filings he made in relation to the deal. According to the SEC, it opened the probe in April 2022 and Musk provided documents and testified via videoconference for two half-day sessions that July. The SEC later received new documents and subpoenaed Musk in May to testify again, this time at its office in San Francisco, where X is based. Musk agreed to testify on Sept. 15, but two days beforehand raised ""spurious objections"" and said he would not appear. Musk also refused SEC proposals to testify in Texas, where he lives, in October or November, the SEC said. Among his objections, Musk said the SEC was trying to ""harass"" him and that his counsel needed time to review potentially relevant material contained in a biography of Musk published last month, the SEC said. On Thursday, Musk wrote on X that such agencies need ""a comprehensive overhaul."" Musk's attorney Alex Spiro said that the investigation was ""misguided"" and that ""enough is enough."" But it's not unusual for the SEC or other federal agencies to seek additional testimony as probes evolve, lawyers said. ""As investigations go on, you sometimes want to bring people back as you have more information,"" said Howard Fischer, a partner at law firm Moses & Singer and former SEC attorney. He added the court will likely order Musk to sit for additional testimony. ""All you have to show is...the subpoena is part of a legitimate effort to obtain information."" The courts have previously upheld SEC's subpoena rights. In 2018, a court compelled Jay-Z to testify after he ignored SEC subpoenas, although the judge told the SEC to seek his permission if it needed more than a day. The musician was also represented by Spiro. In 2022, a judge ordered Terraform Labs' founder to comply with an SEC subpoena for documents. Just months after Musk agreed with the SEC to vet his tweets, the agency determined that he breached that deal and sued him to comply. But the judge challenged the settlement's ""soft"" standard for assessing when a tweet was material and told both parties to ""put your reasonableness pants on"" and work it out. After that, the SEC was reluctant to return to the court even though staff believed he breached the deal on subsequent occasions, Reuters reported last year. The SEC has opened other probes into Musk, who has on several occasions denigrated the agency and alleged it is harassing him. He has also disputed the SEC's finding that he did not have funding secured for the Tesla take private, and has tried unsuccessfully to have a court rescind the 2018 settlement. The San Francisco court, though, is unlikely to consider Musk's bad blood with the agency and will focus on whether the SEC has been reasonably accommodating of Musk's schedule and other logistical considerations. Lawyers Reuters interviewed said the SEC appeared to have met that bar. ""Musk is trying to make a point and he doesn’t want to be pushed around,"" said Robert Frenchman, a partner at Mukasey Frenchman who has defended clients in SEC matters. ""I don't think it's likely he wins this battle."""
Tesla workers in Germany join union as health and safety issues grow - union,https://www.reuters.com/business/autos-transportation/tesla-workers-germany-join-union-health-safety-issues-grow-union-2023-10-09/,"GRUENHEIDE, Germany, Oct 9 (Reuters) - Tesla (TSLA.O) workers at the carmaker's Brandenburg plant are joining the IG Metall union in rising numbers over concerns around health, safety and overwork, the union said on Monday. Lack of staff and inadequate safety provisions in the workplace were leading to a high number of accidents at work, and it was not rare that around 30% of workers were signed off sick, the union said in a statement. Reuters was not able to independently verify the union's claims and Tesla did not immediately respond to a request for comment. Union representatives met workers at the factory gates, on the platforms of nearby stations and inside the factory on Monday handing out stickers stating ""Together for safe and fair work at Tesla"". On Sunday night, Tesla managers invited their teams to a meeting with ""free food and a surprise"" to discuss IG Metall's presence on the site, stating: ""We want to speak with you and your teams about the questionable methods and actual goals of IG Metall,"" according to a copy of the email seen by Reuters. ""The law gives all workers the right to organise in a union and stand openly for that at their workplace. That counts at Tesla in Brandenburg as well,"" Dirk Schulze of IG Metall said. The union said it does not share specific membership numbers for companies as a matter of course, but that it has seen a steep rise in the number of new members at Tesla. Reuters spoke to twelve workers at the factory on Monday. While four said they were satisfied with working conditions, eight said pressure was too high, with some reporting high incidence of accidents and issues with receiving overtime pay. Two workers said they were not allowed to speak to the media. ""Speed is not compatible with safety,"" said one 56-year-old worker from Poland, who declined to be named, adding there were too few workers to meet targets and that he would seek a new job next year if conditions did not improve."
